priority,reason,vqa_id,image_id,split,qtype,llm_decision,human_decision,confidence,failure_flags,rationale_short
P0,human_llm_disagreement,11731,image000914,test,allergen_restrictions,DROP,KEEP,medium,allergen_vs_pathogen;ambiguous_bacterial_risk;answer_not_visually_verifiable;multiple_plausible_choices;pass_disagreement;qtype_mismatch;relation_mismatch;unsupported_triples,"P1: Question refers to bacterial health risk/allergen-like restriction that cannot be verified from the image; nem ingredients are not visually confirmable and raw vegetables could also be a plausible contamination risk. | P2: Triples point to the intended answer via egg in nem rán and Salmonella risk, but the second relation mislabeled Salmonella as an allergen. | P3: DROP vì câu hỏi dựa vào nguy cơ vi khuẩn và triple Salmonella-as-allergen sai/không quan sát được, đồng thời có nhiều lựa chọn rủi ro hợp lý như rau sống."
P0,human_llm_disagreement,11757,image001055,test,allergen_restrictions,DROP,KEEP,high,allergen_pathogen_confusion;ambiguous_choices;invalid_allergen_concept;invalid_choices;pass_disagreement;qtype_mismatch;relation_label_error;unsupported_food_fact,"P1: Question targets bacteria as food allergens, which is conceptually wrong for allergen_restrictions; Salmonella is only a possible food-safety risk, not a uniquely correct allergen answer. | P2: Nem rán commonly uses egg, which can be associated with Salmonella risk, but the triple incorrectly labels Salmonella as an allergen. | P3: DROP vì câu hỏi nhầm vi khuẩn gây bệnh với chất gây dị ứng thực phẩm, triple Salmonella-as-allergen sai, và hai pass trước không thống nhất."
P0,human_llm_disagreement,11864,image001243,test,allergen_restrictions,DROP,KEEP,high,choices_not_same_type;distractor_includes_avoided_item;distractor_is_avoided_item;pass_disagreement;triples_do_not_support_final_answer;wrong_gold_answer,"P1: Câu hỏi phù hợp ảnh, nhưng đáp án đúng phải là A vì món đối diện đĩa thanh long là bò xào su hào; B là món cần tránh do tẩm bột. | P2: The triples correctly support that the top dish is battered fried squid and that fried batter may contain gluten, which is relevant to the gluten-allergy VQA. | P3: Đáp án đúng theo câu hỏi phải là A, vì B là món mực tẩm bột cần tránh; hai pass cũng đang bất đồng."
P0,human_llm_disagreement,14380,image002304,test,allergen_restrictions,DROP,KEEP,high,no_fully_correct_choice;pass_disagreement;position_relation_incorrect;triples_incomplete_for_question,"P1: Món cao nhất là tôm rim và đúng là dị ứng giáp xác, nhưng nó không đối xứng qua tâm với chén nước tương ở góc dưới bên phải; không có lựa chọn nào hoàn toàn đúng. | P2: Các triples đúng và hỗ trợ phần dị ứng: món ở vị trí cao nhất là tôm rim, tôm thuộc nhóm giáp xác có nguy cơ gây dị ứng. | P3: D đúng về dị ứng giáp xác nhưng sai/không được hỗ trợ về quan hệ vị trí đối xứng với chén nước tương, nên không nên chấp nhận."
P0,human_llm_disagreement,1108,image001536,test,cooking_technique,DROP,KEEP,high,irrelevant_to_question;irrelevant_triples;pass_disagreement;unsupported_food_fact;wrong_cooking_technique;wrong_food_item,"P1: Question correctly targets the bottom-right dish on the left tray, whose caramel-brown color and name indicate stir-frying with sweet-sour sauce; choices are distinct cooking methods and only D is correct. | P2: The supporting triple does not match the asked dish or its cooking method; the correct support should concern sườn xào chua ngọt and xào/sốt chua ngọt. | P3: DROP vì triple hỗ trợ sai món và sai kỹ thuật nấu, trong khi Pass 1 và Pass 2 cũng bất đồng."
P0,human_llm_disagreement,1282,image001614,test,cooking_technique,DROP,KEEP,high,answerable_without_triples;irrelevant_triple;pass_disagreement;unsupported_reasoning_chain,"P1: Question matches the visible dishes and description: lower-left is gà kho gừng, center is thịt kho tiêu; answer B correctly distinguishes the cooking methods, and other choices are same-type but clearly incorrect. | P2: Triple về rau cải luộc không hỗ trợ câu hỏi so sánh kỹ thuật kho gừng và kho tiêu. | P3: DROP vì triple về rau cải luộc không liên quan đến câu hỏi so sánh gà kho gừng và thịt kho tiêu, đồng thời Pass 1 và Pass 2 mâu thuẫn."
P0,human_llm_disagreement,2808,image002330,test,cooking_technique,DROP,KEEP,medium,no_clear_correct_choice;not_visually_verifiable;pass_disagreement;triple_insufficient_or_wrong;unsupported_cooking_step;unsupported_food_fact,"P1: The dishes match the image/description, but 'fried before braising' for the fish is not visually supported or stated; the clear technique would be braised vs boiled. | P2: Triple is relevant and supports the option that the upper-right fish dish involves frying, though it does not capture the full contrast with boiled pork. | P3: Reject because the key claim that the upper-right fish was fried before braising is not supported by the image or reliable triples, and the previous passes disagree."
P0,human_llm_disagreement,8830,image000054,test,cooking_technique,DROP,KEEP,high,irrelevant_triples_used;not_useful_for_answer;pass_disagreement;unsupported_cooking_technique;visual_ambiguity,"P1: Question matches the central Mì Quảng bowl and cooking-technique qtype; kho rim is the most plausible method for the richly colored shrimp/meat toppings, and the other choices are distinct techniques. | P2: Triple không hỗ trợ đáp án C vì kỹ thuật cần xác minh là kho rim, không phải chỉ nấu/trộn chung chung. | P3: DROP vì triple không hỗ trợ đáp án kho rim, bằng chứng hình ảnh không đủ chắc để xác định kỹ thuật nấu, và hai pass trước mâu thuẫn rõ ràng."
P0,human_llm_disagreement,8854,image000064,test,cooking_technique,DROP,KEEP,medium,imprecise_subject;imprecise_target;knowledge_only_answer;not_visually_inferable;pass_disagreement;unsupported_gold_answer;unsupported_or_imprecise_triple,"P1: The image shows canh chua and nước chấm, but no visual evidence supports 'chiên sơ' or any specific cooking technique for the ingredients. | P2: The triple is relevant to answer A, but it is too broad because the VQA asks about 'chiên sơ' applied to an ingredient, not simply 'Chiên' as a general technique for the whole soup. | P3: Không có bằng chứng thị giác cho kỹ thuật chiên sơ; triple cũng mơ hồ/không đủ hỗ trợ, nên không nên chấp nhận hàng này."
P0,human_llm_disagreement,9368,image000276,test,cooking_technique,DROP,KEEP,medium,irrelevant_triple;pass_disagreement;unsupported_specific_technique;wrong_food_item,"P1: Question matches the bottom-right fried fish; answer B is plausible, though the image supports frying more clearly than specifically deep-frying. | P2: Triple không hỗ trợ câu hỏi về món cá chiên ở góc dưới bên phải; nó nói về rau muống xào tỏi. | P3: DROP vì triple dùng sai món ăn và không hỗ trợ câu hỏi về cá chiên; hai pass cũng mâu thuẫn rõ ràng."
P0,human_llm_disagreement,10475,image002026,test,cooking_technique,DROP,KEEP,high,answerable_without_triples;irrelevant_triple;pass_disagreement;wrong_food_item,"P1: Question correctly refers to the bottom-right thịt kho đậu phụ; the dark brown color and texture match the braising/kho method, and only choice C is correct. | P2: Triple không hỗ trợ VQA vì hỏi món thịt kho đậu phụ ở góc dưới bên phải, không phải rau muống luộc. | P3: DROP vì triple nói về rau muống luộc, không hỗ trợ câu hỏi về phương pháp kho của món thịt kho đậu phụ ở góc dưới bên phải."
P0,human_llm_disagreement,10971,image001796,test,cooking_technique,DROP,KEEP,high,answerable_despite_bad_triple;irrelevant_triple;pass_disagreement;wrong_subject,"P1: Question matches the bottom-right roasted chicken beside fried sticky rice; the correct cooking method is roasting, and the choices are distinct cooking techniques with only one correct answer. | P2: Triple đúng về kỹ thuật quay nhưng sai chủ thể: cần là Gà quay ở góc dưới bên phải, không phải Vịt quay. | P3: Question/answer likely correct, but triples_used points to Vịt quay instead of the targeted Gà quay, and prior passes disagree, so this should be reviewed."
P0,human_llm_disagreement,191,image001287,test,dietary_restrictions,DROP,KEEP,high,ambiguous_vegan_status;multiple_correct_choices;pass_disagreement;unsupported_prepared_dish_fact;visual_evidence_insufficient,"P1: Question matches the top-left măng xào, but vegan suitability cannot be confirmed from image/name alone, and choices A and D are both valid 'yes' answers. | P2: Các triple đúng với món măng xào ở góc trên trái và hỗ trợ kết luận món làm từ thực vật phù hợp chế độ thuần thực vật. | P3: DROP vì Pass 1/2 bất đồng, đáp án A và D đều hợp lý, và ảnh/triples không đủ chứng minh món măng xào hoàn toàn thuần thực vật."
P0,human_llm_disagreement,225,image001304,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_multiple_possible;answer_not_visually_verifiable;choices_not_same_type;dietary_assumption;dietary_tag_mismatch;insufficient_support_for_whole_dish;irrelevant_or_insufficient_triples;pass_disagreement;question_answerable_by_location;unsupported_dietary_claim,"P1: Question matches the central mixed rice visually, but vegan suitability cannot be verified from the image and choices are uneven/ambiguous; kimchi or other dishes could also be argued depending on ingredients. | P2: Triples are partly relevant, but rice being vegetarian/plant-based is insufficient to verify the central mixed rice dish is suitable for a vegan diet. | P3: Reject: the vegan claim for the central mixed rice is unsupported by image or triples, and prior passes already flag disagreement/ambiguity."
P0,human_llm_disagreement,291,image001348,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_ingredients;dietary_not_visually_verifiable;insufficient_support_for_answer;insufficient_triple_support;pass_disagreement;vegetarian_not_equal_vegan,"P1: The image/positions match, but vegan suitability cannot be verified from the image, and knowing the lower-left dish is vegetarian does not prove it is fully plant-based. | P2: Các triple hợp lệ cho bát chè bưởi phía dưới bên trái, nhưng không hỗ trợ bát chè khoai môn phía dưới bên phải nên chưa đủ để chứng minh đáp án D. | P3: Không nên chấp nhận vì đáp án D cần chứng minh cả hai bát đều thuần thực vật, nhưng triples chỉ hỗ trợ gián tiếp bát dưới trái và không chứng minh bát dưới phải."
P0,human_llm_disagreement,575,image000100,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_referent;insufficient_dietary_support;irrelevant_subject;irrelevant_triples;pass_disagreement;wrong_food_item,"P1: Câu hỏi có thể ám chỉ nem rán ở góc dưới phải cạnh rau sống, khi đó đáp án B đúng; nhưng vị trí này cũng dễ nhầm với đĩa xôi vò gần đó. | P2: Triples discuss chicken, while the VQA asks about nem rán near the raw vegetables; they do not support why it is not plant-based. | P3: DROP vì triples_used nói về gà luộc chứ không hỗ trợ món được hỏi, và vị trí góc dưới bên phải cạnh rau sống còn dễ nhầm giữa nem rán và xôi vò."
P0,human_llm_disagreement,677,image000157,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_vegan_suitability;gold_answer_overclaims;insufficient_support_for_vegan_claim;multiple_plausible_choices;pass_disagreement;seasoning_uncertain;triples_do_not_support_full_dish,"P1: Question matches the upper-right tofu-pineapple dish, but vegan suitability cannot be confirmed from the image because animal-based seasonings may be used; D is more defensible than gold C. | P2: Triples are relevant and factually plausible, but they only show tofu is vegetarian/plant-based and do not prove the whole dish contains no animal-derived seasoning. | P3: Không nên chấp nhận vì đáp án C khẳng định món hoàn toàn thuần thực vật, trong khi ảnh và triples không chứng minh gia vị/chế biến không có thành phần động vật; D hợp lý hơn."
P0,human_llm_disagreement,1221,image001592,test,dietary_restrictions,DROP,KEEP,high,ambiguous_dietary_tag;ambiguous_vegetarian;answer_mismatch;dietary_tag_error;gold_answer_wrong;location_mismatch;triples_answer_mismatch;unsupported_choice;unsupported_food_fact,"P1: Question asks for the vegetarian-suitable dish in the top-left corner, which is the omelet (D), but the gold answer is cucumber (C) in the bottom-right; vegetarian status of egg also makes choices ambiguous. | P2: Triples focus on trứng chiên ở góc trên trái and imply D, while the provided answer is C dưa leo; egg-as-vegetarian is also questionable. | P3: Gold answer C conflicts with the question asking for the top-left dish; triples point to D and include a questionable egg-as-chay fact."
P0,human_llm_disagreement,2619,image002186,test,dietary_restrictions,DROP,KEEP,high,ignores_non_vegan_pho_ingredients;misleading_dietary_support;multiple_or_no_correct;not_visually_determinable;unsupported_food_fact;wrong_answer,"P1: Gold answer D is phở, which appears to contain meat/broth and is not a plant-based choice; none of the listed main dishes is clearly vegan from the image. | P2: Triple 1 incorrectly supports pho as suitable for a plant-based diet despite the described pho containing beef; the support is unsuitable for this VQA. | P3: DROP: Đáp án D không phù hợp vì tô phở được mô tả có thịt bò; triples chỉ nói bánh phở chay nên không hỗ trợ món phở thuần thực vật."
P0,human_llm_disagreement,2671,image002209,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_spatial_reference;answer_not_verifiable;dietary_ambiguity;incomplete_support;multiple_plausible_choices;pass_disagreement,"P1: Câu hỏi dùng vị trí 'nằm cạnh rau lang' và 'đối diện củ kiệu' không xác định duy nhất trong ảnh; đáp án C không thể xác minh chắc chắn, nhất là nước chấm/canh có thể không phù hợp ăn chay thuần. | P2: Both triples correctly establish that thịt heo quay contains pork and is non-vegetarian, but they only support the non-vegan item, not the other dish in answer C. | P3: Reject: vị trí món ăn không xác định duy nhất và triples chỉ hỗ trợ thịt heo không chay, nên đáp án C không thể xác minh chắc chắn."
P0,human_llm_disagreement,5524,image000999,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_vegan_answer;answer_not_unique;ingredient_specificity_uncertain;multiple_possible_correct;pass_disagreement;unsupported_triples;vegan_status_not_verifiable,"P1: Question matches the image, but both vegetable soup and fried tofu with scallion oil could plausibly be vegan, while broth/fat ingredients are not visually confirmable, so answer B is not uniquely valid. | P2: Triples support that a leafy vegetable soup could be vegetarian, but the specific ingredient rau muong is not fully verifiable from the image/VQA. | P3: Reject: answer B is not uniquely justified because both candidate dishes could be vegan, and the triples do not verify vegan suitability or the soup ingredients."
P0,human_llm_disagreement,5666,image001079,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_ingredients;ambiguous_visual_evidence;answer_not_fully_verifiable;answer_not_verifiable;multiple_choice_issue;multiple_plausible_choices;pass_disagreement;unsupported_food_fact,"P1: Câu hỏi khớp ảnh nhưng đáp án A không chắc đúng vì dưa cải chua xào có thể xào với gia vị/đạm động vật, còn canh chua cũng có thể chứa cá/thịt; choices dựa vào thành phần không quan sát/xác minh được. | P2: Các triple hỗ trợ đúng rằng món bên trái là dưa cải chua xào có thành phần thực vật/phù hợp ăn chay, liên quan trực tiếp đến đáp án A. | P3: Không nên tự động giữ vì hai pass bất đồng và triples không chứng minh món dưa cải chua xào hoàn toàn thuần thực vật."
P0,human_llm_disagreement,5721,image001132,test,dietary_restrictions,DROP,KEEP,high,ambiguous_dietary_tag;irrelevant_or_incomplete_triples;pass_disagreement;wrong_gold_answer,"P1: Gold answer B is incorrect because both nem lụi and the brown-yellow soup with minced meat are not suitable for a vegan diet; D is the correct choice. | P2: Nem lụi thường có thịt lợn nên không phù hợp thuần thực vật, nhưng tag 'mặn' chưa trực tiếp hỗ trợ tiêu chí vegan. | P3: Answer B should not be accepted because the soup is also described as having minced meat, so D is more plausible; triples do not support the full comparison."
P0,human_llm_disagreement,6234,image001015,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_choices;mixed_choice_types;pass_disagreement;qtype_mismatch;unsupported_food_fact,"P1: Question correctly points to súp lơ xào mực, and D can be valid as a non-vegetarian savory dish, but choices mix dietary restriction, taste, and nutrition labels with ambiguity. | P2: Món phía trên trung tâm là súp lơ xào mực; mực là nguyên liệu động vật nên phù hợp với nhãn món mặn, hỗ trợ đáp án D. | P3: REVIEW vì hai pass không thống nhất, lựa chọn mơ hồ và triple gán 'mặn' cho mực không phải là fact dinh dưỡng rõ ràng."
P0,human_llm_disagreement,6266,image001236,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_choice;ambiguous_dietary_label;choices_not_same_type;pass_disagreement;possible_multiple_correct;unsupported_food_fact,"P1: Question matches the image and the bottom-left dish is mướp đắng xào trứng; D is likely intended as non-vegetarian, but choices mix diet categories and B low-carb could also be arguable. | P2: Món góc dưới bên trái là mướp đắng xào trứng; có trứng nên không thuần chay và phù hợp nhóm món mặn. | P3: Should route to REVIEW because the answer D is likely intended, but the option set is inconsistent and the triple mapping egg -> 'mặn' is not a robust dietary fact."
P0,human_llm_disagreement,6269,image001244,test,dietary_restrictions,DROP,KEEP,high,ambiguous_answer_label;ambiguous_question;choice_type_mismatch;pass_disagreement;qtype_mismatch,"P1: Món phía trên là gà rang lá chanh và đáp án 'Mặn' có thể đúng, nhưng câu hỏi/qtype về dietary_restrictions không khớp và các lựa chọn không cùng loại. | P2: Món phía trên là gà rang lá chanh, có thành phần thịt gà nên phù hợp với nhãn ăn mặn. | P3: Không nên giữ vì hai pass mâu thuẫn và lựa chọn 'Mặn' mơ hồ giữa vị mặn và món không chay, làm câu hỏi dietary_restrictions không nhất quán."
P0,human_llm_disagreement,6507,image001869,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_choices;ingredient_too_specific;mixed_diet_axes;triples_not_strongly_grounded;unsupported_specific_ingredient,"P1: Question correctly targets the bottom-center grilled meat skewers and D is valid, but choice B is a different diet axis and could also plausibly apply to a meat dish, making choices ambiguous. | P2: Ảnh và VQA xác nhận món là thịt xiên nướng nên phù hợp chế độ ăn mặn, nhưng triple nói cụ thể thịt lợn hơi vượt quá bằng chứng. | P3: Nên REVIEW vì đáp án D hợp lý nhưng lựa chọn B cũng có thể áp dụng theo trục ăn kiêng tinh bột, và triple khẳng định thịt lợn không được ảnh hỗ trợ chắc chắn."
P0,human_llm_disagreement,6592,image000644,test,dietary_restrictions,DROP,KEEP,high,hallucinated_ingredient;irrelevant_support;pass_disagreement;unsupported_triples,"P1: Question matches the image and listed items; pork xá xíu and nước mắm ớt make the correct dietary classification 'chế độ ăn mặn', with no other valid choice. | P2: Các triple dùng tôm làm căn cứ nhưng ảnh và câu hỏi nói về thịt xá xíu/nước mắm ớt, nên không hỗ trợ đúng cho VQA. | P3: DROP vì triples_used dựa vào tôm không xuất hiện trong ảnh/mô tả/câu hỏi, và Pass 1 với Pass 2 bất đồng rõ ràng."
P0,human_llm_disagreement,6674,image000830,test,dietary_restrictions,DROP,KEEP,high,ambiguous_choices;multiple_possible_answers;non_unique_answer;pass_disagreement;underspecified_dietary_tag,"P1: Câu hỏi khớp ảnh: món ở góc trên bên trái so với chén nước chấm là rau muống luộc, phù hợp thuần thực vật; tuy nhiên rau này cũng có thể phù hợp Keto/Paleo/thực dưỡng nên lựa chọn không hoàn toàn loại trừ nhau. | P2: Món ở góc trên bên trái là rau muống luộc, có nguồn gốc thực vật và phù hợp với lựa chọn thuần thực vật. | P3: Rau muống luộc is visibly plant-based, but it can also fit Keto/Paleo/thực dưỡng, and the 'chay' triple does not uniquely justify 'thuần thực vật'."
P0,human_llm_disagreement,9195,image000199,test,dietary_restrictions,DROP,KEEP,high,answer_not_supported_by_triples;does_not_support_answer;irrelevant_triples;misleading_dietary_tag;pass_disagreement,"P1: Câu hỏi khớp ảnh và mô tả; bữa ăn có ếch, thịt viên và cá nên phân loại phù hợp nhất là chế độ ăn mặn, các lựa chọn còn lại không đúng. | P2: Triple đầu đúng về nguyên liệu măng, nhưng triple thứ hai gây lệch hướng vì bữa ăn có ếch, thịt viên và cá nên phân loại phù hợp là ăn mặn. | P3: Nên loại vì triples_used gây nhiễu hướng chay và không hỗ trợ đáp án ăn mặn, trong khi hai pass trước cũng bất đồng."
P0,human_llm_disagreement,11140,image000007,test,dietary_restrictions,DROP,KEEP,medium,ambiguous_dietary_tag;choice_claims_not_visible;irrelevant_or_incomplete_triples;multiple_plausible_answers;unsupported_animal_ingredient;unverifiable_animal_ingredient;visual_evidence_ambiguous,"P1: Question matches the image, but the animal-origin filling and animal fat in choices cannot be verified from the image or listed food items alone. | P2: Triple về thịt lợn trong bánh cuốn phù hợp để hỗ trợ đáp án C, nhưng nhãn 'mặn' không đủ rõ cho tiêu chí thuần thực vật. | P3: The chosen answer relies on unverifiable assumptions about pork filling, while the sauce is relevant but unsupported by triples, so this row should not be silently accepted."
P0,human_llm_disagreement,11247,image000276,test,dietary_restrictions,DROP,KEEP,high,hidden_ingredients_not_verifiable;multiple_correct_choices;pass_disagreement;unsupported_food_fact,"P1: Question matches the top-right rau muống xào tỏi and gold A is plausible, but choice C is also a reasonable correct yes-answer, making the choices non-unique. | P2: Các triple đúng với món rau muống xào tỏi trong ảnh và hỗ trợ kết luận món rau có thành phần thực vật, phù hợp với lựa chọn A. | P3: Không nên chấp nhận vì A và C đều hợp lý, còn khẳng định món hoàn toàn không có thành phần động vật không được ảnh hoặc triples chứng minh."
P0,human_llm_disagreement,11467,image000535,test,dietary_restrictions,DROP,KEEP,medium,answer_not_visually_verifiable;dietary_ambiguity;multiple_plausible_choices;pass_disagreement;unsupported_food_fact;weak_distractors,"P1: Question matches the image, but the animal-derived filling in chả giò is not visible or guaranteed; vegan suitability is ambiguous and some choices are weak. | P2: Các triple đều phù hợp để hỗ trợ đáp án C: chả giò thường có thịt lợn, và thịt lợn là thành phần không phù hợp với chế độ thuần thực vật. | P3: Không nên tự động giữ vì đáp án dựa vào giả định chả giò có thịt lợn, điều này không thấy rõ trong ảnh và Pass 1/Pass 2 đang bất đồng."
P0,human_llm_disagreement,11567,image000644,test,dietary_restrictions,DROP,KEEP,high,irrelevant_triples;pass_disagreement;poor_vqa_support;unsupported_food_fact;unsupported_ingredient,"P1: Question matches the image and dietary qtype; D is correct because the central bowl visibly contains pork/xá xíu and crispy pork fat, so it is not vegan. | P2: Các triples không hỗ trợ đúng câu hỏi thuần thực vật; ảnh và mô tả cho thấy thành phần động vật chính là thịt xá xíu/tóp mỡ, không phải tôm hay vị mặn. | P3: DROP vì triples_used sai/không liên quan và hai pass bất đồng; đáp án đúng dựa vào thịt xá xíu/tóp mỡ trong ảnh chứ không phải tôm."
P0,human_llm_disagreement,11610,image000698,test,dietary_restrictions,DROP,KEEP,medium,gold_incorrect;incomplete_support;no_correct_choice;pass_disagreement;uniqueness_false;unsupported_vegan_claim,"P1: Gold C is not valid because strawberries on the table are also plant-based/vegan, so the top-left mushroom dish is not the unique non-animal option. | P2: Các triple đúng và liên quan đến món nấm xào, nhưng chưa hỗ trợ trực tiếp phần so sánh với thịt chân giò hoặc tính 'duy nhất'. | P3: DROP vì đáp án C sai/không duy nhất: dâu tây cũng là lựa chọn thuần thực vật, trong khi triples không chứng minh tính duy nhất hay vegan tuyệt đối của món nấm xào."
P0,human_llm_disagreement,11671,image000790,test,dietary_restrictions,DROP,KEEP,medium,multiple_correct_choices;pass_disagreement;unsupported_specific_ingredient;visual_ingredient_uncertain;weak_dietary_tag,"P1: Question matches the image and C is plausible for chả giò, but D may also be correct because the mentioned dipping sauce can contain fish sauce, and animal ingredients are not visually certain. | P2: Các triples liên quan trực tiếp đến chả giò và thành phần thịt lợn, hỗ trợ đáp án món không phù hợp với chế độ thuần thực vật. | P3: Route to REVIEW because C and D are both plausible, the pork ingredient is not visually confirmed, and the verifier passes disagree."
